0.7286,1,1,1,1,4,1,4,4,16,3,5,8,22,2,11,1,11,8,8,9,4,0
0.7317,0,1,1,0,5,1,0,2,12,4,2,9,18,4,15,5,6,8,7,8,2,6
0.7349,1,1,0,1,4,1,5,4,16,6,0,7,2,4,3,5,0,0,10,8,4,0
0.7581,1,1,1,1,5,1,6,0,15,0,2,4,24,4,15,2,12,10,8,9,3,1
0.7604,1,1,0,1,9,0,6,8,13,3,0,11,19,8,6,3,3,6,6,6,2,3
0.7629,1,0,1,1,6,1,2,5,13,9,3,10,6,3,12,2,11,8,8,6,4,5
0.7651,0,1,1,0,8,1,0,8,12,2,2,8,19,4,8,3,14,6,5,4,2,5
0.7674,1,1,1,1,7,0,8,8,15,6,2,7,5,6,4,4,0,8,8,5,4,0
0.7703,1,0,1,1,3,1,6,6,16,9,5,11,15,1,14,1,16,9,8,2,3,6
0.7727,0,2,1,0,11,1,6,8,13,1,2,5,30,4,3,5,8,0,2,10,3,4
0.7751,1,1,0,1,2,1,5,7,16,3,1,2,21,1,15,5,12,12,8,6,3,6
0.7775,0,1,1,0,8,1,6,8,16,4,2,9,22,4,11,6,9,11,7,7,2,3
0.78,1,1,1,1,10,1,2,4,20,4,1,10,8,3,6,5,12,12,8,4,4,3
0.7823,0,1,1,0,0,1,4,5,16,5,2,7,23,4,17,4,4,6,4,5,2,4
0.7846,1,1,0,1,13,1,6,8,12,1,0,6,7,5,4,4,2,10,8,5,3,3
0.7874,1,0,1,1,7,1,7,2,16,5,0,9,19,3,14,4,13,9,10,6,5,7
0.7903,0,1,1,1,11,1,6,8,13,2,2,8,6,7,4,5,6,9,8,8,3,3
0.7928,1,1,0,1,10,0,3,4,16,6,1,3,13,5,15,5,6,14,8,6,4,3
0.7952,1,0,1,1,0,1,6,8,16,0,2,12,20,2,5,0,15,11,5,0,2,8
0.7978,1,1,0,1,14,0,3,4,15,4,2,10,13,4,9,4,12,13,8,7,4,3
0.8001,1,1,1,1,6,1,7,1,16,2,2,9,21,1,13,5,9,4,5,6,4,1
0.8024,0,1,1,1,11,0,5,8,13,7,4,2,0,5,9,3,8,6,5,9,2,3
0.8048,1,2,0,1,9,0,3,4,17,8,2,6,17,4,13,5,13,11,8,3,4,5
0.8072,0,1,1,0,13,1,6,8,16,3,2,8,10,0,6,2,11,7,4,3,4,3
0.8098,1,1,0,1,9,0,2,8,12,9,0,6,0,5,11,5,11,12,8,8,4,7
0.8121,1,1,1,1,3,1,8,6,16,1,2,9,17,1,11,2,15,11,7,0,4,3
0.8146,0,1,1,0,15,1,6,6,12,4,11,2,6,4,2,4,11,14,5,10,2,3
0.8169,1,1,1,1,8,1,2,4,10,8,2,10,19,4,7,1,12,9,7,2,3,0
0.8194,0,1,1,0,13,1,5,8,13,2,0,3,13,7,7,5,5,14,6,6,4,5
0.8219,1,1,0,1,8,0,3,5,17,6,2,10,12,4,13,5,9,16,8,1,2,4
0.8242,1,0,1,0,11,1,5,8,16,4,2,9,10,2,9,0,7,9,7,8,2,5
0.8267,1,1,1,0,10,1,2,8,12,11,2,7,24,4,7,5,7,11,5,8,4,8
0.8291,0,0,1,1,6,1,3,6,16,5,2,12,19,1,15,0,11,6,7,7,3,8
0.8315,0,1,1,0,13,1,4,5,11,6,4,1,7,6,5,4,7,14,5,12,4,5
0.8339,0,1,1,1,7,1,3,6,4,6,0,12,20,4,12,4,6,6,10,0,4,6
0.8363,1,0,1,1,12,1,7,8,16,0,2,5,20,0,9,2,12,10,7,12,3,5
0.8388,1,1,0,1,3,0,2,6,17,4,8,6,15,4,11,6,11,13,8,8,3,6
0.8417,1,0,1,1,12,1,8,8,16,2,2,11,8,2,8,3,16,6,3,13,3,6
0.8441,1,1,0,1,10,0,3,6,13,8,1,5,16,3,11,6,9,13,8,9,4,8
0.8465,0,0,1,1,7,1,4,6,16,5,2,8,22,2,8,1,11,2,6,8,5,5
0.8491,0,1,1,0,14,1,6,5,15,11,3,4,8,4,8,6,12,14,5,10,3,5
0.8515,0,1,1,1,9,1,2,4,17,3,0,11,17,1,1,5,8,3,9,7,3,5
0.8543,0,1,1,0,13,1,6,8,16,0,2,6,8,4,4,0,12,7,8,13,3,5
0.8568,1,1,0,1,10,0,5,4,12,9,0,8,13,4,10,6,11,10,8,5,4,9
0.8592,0,1,1,1,8,1,6,8,16,1,2,9,21,1,10,3,5,8,7,7,3,6
0.8617,0,1,1,1,13,1,4,4,15,8,2,5,8,6,10,5,9,12,4,11,4,8
0.8641,0,0,1,1,8,1,6,2,16,5,2,11,18,1,14,0,9,7,10,8,3,12
0.8665,0,1,1,0,13,1,6,7,12,5,2,7,19,5,8,4,1,13,6,13,2,5
0.8689,1,0,1,1,14,1,3,2,13,2,0,10,18,1,14,5,14,9,8,0,4,8
0.8713,0,1,1,0,11,1,6,8,15,2,3,3,14,6,8,5,7,12,3,9,3,5
0.8737,1,1,1,1,10,0,4,3,20,5,1,8,14,4,12,6,11,12,8,0,4,6
0.8761,0,1,1,0,16,1,8,8,16,1,3,9,22,6,6,5,9,9,6,14,2,5
0.8795,1,1,0,1,12,0,5,5,16,6,0,10,26,5,11,6,6,11,7,13,4,6
0.8819,1,1,1,0,5,1,4,8,16,3,3,9,21,4,9,6,9,9,4,7,3,9
0.8842,1,1,0,1,14,0,8,6,12,8,3,3,10,7,8,6,9,12,8,9,4,5
0.8866,0,1,1,1,10,1,4,3,13,9,4,10,19,4,15,3,7,8,5,7,3,9
0.8891,0,1,1,0,13,0,7,8,14,5,4,5,13,1,11,4,8,8,3,12,4,5
0.8916,2,1,1,1,7,1,6,4,19,5,4,5,18,1,13,5,14,11,8,11,2,8
0.894,1,1,1,0,14,1,6,8,13,4,3,9,22,5,0,4,10,7,3,6,2,4
0.8964,2,1,0,1,15,1,3,3,11,5,1,10,11,5,15,4,10,11,8,9,4,8
0.8989,1,2,1,1,11,1,3,8,15,3,3,9,21,4,11,3,6,9,7,11,3,7
0.9013,2,1,1,1,10,1,8,6,18,5,2,6,8,0,8,4,9,10,8,12,4,5
0.9037,2,1,1,0,11,1,0,7,17,1,5,8,18,3,16,6,5,7,12,10,1,7
0.906,2,1,1,1,12,0,8,6,17,5,2,11,8,6,7,5,10,4,6,9,3,2
0.9084,2,0,1,1,8,1,1,6,9,2,2,6,17,2,16,2,15,14,7,8,1,8
0.9107,1,1,1,1,11,1,7,8,13,5,3,12,14,7,7,4,7,7,6,9,4,5
0.9131,2,0,1,1,11,1,3,4,16,10,4,7,11,3,18,3,5,7,8,11,4,6
0.9155,1,1,1,0,7,1,3,8,13,6,3,8,19,4,15,3,10,14,4,11,1,7
0.9179,1,0,1,1,12,1,7,4,19,0,5,5,29,6,8,1,11,11,8,10,4,2
0.9203,1,1,1,1,12,1,4,6,14,10,3,7,14,4,12,5,7,4,4,12,3,8
0.9228,2,0,1,1,10,1,7,6,16,0,5,7,10,1,15,3,14,10,7,7,4,2
0.9252,1,1,1,0,10,1,5,5,16,7,3,7,19,4,11,5,10,15,5,7,4,8
0.9275,2,0,1,1,8,1,7,6,16,3,3,9,8,4,9,3,14,5,8,7,3,3
0.9311,1,1,1,0,13,1,2,2,16,4,3,1,27,0,7,5,10,15,5,11,1,10
0.934,2,1,0,1,6,1,5,8,16,7,1,12,19,4,15,2,9,8,9,6,3,3
0.9368,1,1,1,1,14,1,6,5,18,4,3,12,12,2,11,1,10,14,5,14,3,5
0.94,2,1,0,1,11,1,7,5,14,8,1,11,17,1,21,3,3,13,4,5,3,9
0.9425,1,1,1,0,15,1,5,8,16,3,2,1,15,4,14,1,9,10,5,10,3,5
0.9451,2,1,0,1,11,1,0,4,17,7,0,14,22,1,14,3,13,13,9,4,4,7
0.9466,1,1,1,0,12,1,6,8,13,5,4,6,151,,,,,,,,,
0.9475,59,8,34,2,34,,,,,,,,,,,,,,,,,
0.9502,2,4,1,1,21,1,10,7,16,7,9,33,51,16,17,9,34,51,8,39,3,24
0.9528,2,6,0,1,23,1,7,8,17,7,8,27,44,11,17,8,26,58,5,30,3,31
0.9889,1,4,1,0,24,1,8,13,13,7,8,37,49,13,19,2,19,58,6,39,0,32
1.0505,2,5,1,1,29,1,10,10,15,8,7,29,19,3,17,9,23,55,11,31,3,35
1.1159,2,0,0,1,27,0,7,10,14,7,7,38,40,4,11,4,14,52,11,33,1,34
1.1776,1,5,1,0,25,1,7,8,11,7,13,29,38,12,17,8,23,51,12,26,3,36
1.239,2,5,1,1,27,1,7,7,14,7,8,20,37,6,17,7,11,54,6,25,3,27
1.3045,2,4,1,1,29,1,6,10,10,12,7,32,54,12,20,6,25,55,8,29,1,33
1.3659,2,6,1,1,22,1,7,7,15,9,11,20,38,6,12,8,23,55,12,29,3,32
1.4276,2,4,0,1,18,0,10,5,14,6,6,33,48,10,16,7,3,58,9,19,1,35
1.4927,2,5,1,1,25,1,6,10,17,10,9,28,22,7,5,9,14,54,8,34,3,28
1.5542,2,3,1,1,35,0,7,9,14,7,6,37,48,6,10,3,16,55,8,32,3,33
