0.7033,0,3,1,1,0,30,26,5,19,2,3,16,0,6,1,7,12,3,6,13,6,13,
0.7425,10,29,1,1,10,32,0,5,17,4,4,21,0,8,1,4,5,4,11,36,0,4,
0.7576,9,44,1,1,25,29,0,6,15,5,6,29,0,6,2,4,14,1,1,54,0,11,
0.7605,11,14,1,1,19,47,28,5,10,4,5,9,1,7,0,8,8,6,1,40,10,12,
0.7639,10,0,1,1,3,0,20,2,21,1,5,25,1,5,5,3,12,3,2,21,1,3,
0.7665,9,53,0,1,21,13,2,0,12,1,6,20,1,6,5,2,14,7,8,23,9,4,
0.7692,13,50,0,1,21,52,3,5,11,6,12,11,1,8,1,0,13,0,1,53,9,8,
0.7718,10,8,1,1,17,52,25,2,21,5,6,15,1,6,4,1,10,1,6,52,11,6,
0.7744,7,0,0,1,10,17,3,4,22,3,6,24,1,6,6,3,14,0,4,36,4,5,
0.7769,6,60,1,0,13,0,2,6,12,0,6,13,1,7,1,3,12,10,0,44,3,0,
0.7798,12,17,1,0,25,55,28,6,8,3,11,10,1,6,3,4,10,7,1,51,10,14,
0.7823,5,18,1,0,18,42,25,4,24,0,7,3,1,9,3,6,2,5,5,24,6,8,
0.7847,7,33,1,0,17,8,13,6,9,3,4,24,0,8,5,3,8,5,6,20,5,9,
0.7873,10,59,1,1,22,26,2,2,16,1,3,12,0,9,5,3,12,6,1,55,6,1,
0.7902,13,18,1,1,17,49,28,6,25,3,1,11,0,1,2,9,7,4,3,55,8,12,
0.7928,12,36,1,1,11,14,22,6,18,5,0,27,0,6,4,6,6,0,3,37,5,7,
0.7953,9,57,1,1,15,19,14,4,28,5,3,25,1,8,2,3,5,3,5,32,1,4,
0.7979,8,61,0,1,28,52,12,6,8,0,4,18,0,8,6,3,9,3,1,50,7,13,
0.8004,9,4,0,1,17,49,28,3,25,3,10,15,1,5,3,4,6,6,4,37,8,9,
0.8028,6,0,0,1,9,20,7,3,24,2,4,22,1,6,3,0,9,5,2,29,7,2,
0.8053,5,68,1,0,22,20,0,4,0,8,11,24,1,8,3,3,11,12,0,31,6,7,
0.8077,7,39,1,0,22,54,27,7,9,4,7,7,1,7,3,5,5,6,0,60,9,5,
0.8103,11,43,1,1,7,26,27,6,23,5,3,12,0,5,5,5,4,8,5,36,3,10,
0.8139,6,34,1,1,16,35,0,2,20,6,9,18,0,8,5,3,3,7,2,39,4,6,
0.8173,9,62,1,1,23,43,5,5,15,6,7,15,1,9,4,0,8,1,1,49,10,7,
0.8203,4,16,1,1,21,54,41,6,28,4,12,8,1,9,3,2,12,3,4,53,8,9,
0.824,15,23,0,1,18,0,30,1,28,6,9,22,1,6,3,1,11,0,3,48,6,0,
0.8267,9,61,0,1,17,30,10,1,22,3,11,22,1,6,5,0,15,11,3,46,5,5,
0.8295,10,60,0,1,25,57,16,2,10,1,7,3,1,6,8,2,15,7,1,55,11,6,
0.8323,12,30,1,1,14,60,38,3,28,6,5,10,1,8,9,5,12,5,4,36,8,12,
0.8349,12,38,0,1,15,21,26,4,29,3,6,20,1,6,4,3,8,5,6,7,6,0,
0.8376,9,61,0,1,15,41,0,0,24,3,10,18,1,6,5,1,14,8,3,24,1,0,
0.8404,8,53,1,1,24,63,39,5,24,5,11,20,1,5,1,4,13,4,4,53,7,11,
0.8434,9,47,0,1,15,59,43,3,31,3,10,16,1,6,3,1,12,7,5,39,9,12,
0.8462,8,24,0,1,21,26,16,6,26,8,7,21,1,8,6,2,14,4,3,44,2,4,
0.8493,11,61,0,1,15,37,26,3,25,7,10,13,1,8,5,0,14,9,1,41,4,10,
0.8519,10,16,0,1,19,58,31,0,16,7,7,17,1,7,5,5,14,8,1,58,6,5,
0.8547,14,4,0,1,12,52,38,3,32,6,5,8,1,6,5,3,9,5,2,26,5,10,
0.8576,9,37,0,1,14,41,10,7,23,2,4,22,1,6,5,0,4,4,5,17,7,9,
0.8603,9,60,0,1,27,35,19,2,28,3,8,2,1,6,5,4,5,3,1,51,7,1,
0.8632,9,20,1,0,25,63,41,5,23,0,11,14,1,2,4,7,6,8,0,42,12,10,
0.8659,9,54,1,0,14,41,37,3,33,0,10,20,1,9,2,5,7,4,3,38,7,7,
0.8686,6,48,1,0,8,31,12,3,29,6,5,24,1,8,2,3,10,7,3,49,11,3,
0.8714,8,51,1,0,22,57,22,6,26,5,8,11,1,8,1,3,10,10,1,52,8,9,
0.874,9,9,1,0,21,49,39,3,26,5,7,13,1,11,0,7,6,4,1,51,9,5,
0.8766,6,10,1,0,8,22,27,6,22,4,4,23,1,8,3,6,4,11,4,45,8,4,
0.8799,10,65,1,0,18,33,21,7,14,6,7,21,1,8,2,3,12,10,2,14,5,8,
0.8826,4,48,1,1,28,64,28,6,10,7,8,7,1,7,0,4,10,7,3,54,4,10,
0.8854,8,49,1,0,14,65,41,6,28,3,10,7,1,9,0,6,1,10,4,30,3,11,
0.8881,7,36,1,1,18,29,19,6,31,4,2,21,1,7,4,4,6,10,5,25,6,7,
0.8909,7,61,1,1,7,25,16,4,32,7,9,20,0,8,4,3,11,14,0,33,5,9,
0.8935,9,54,1,1,21,62,37,7,19,8,8,15,0,8,2,5,10,6,2,59,7,14,
0.8961,2,26,1,1,12,48,35,6,31,5,6,13,1,2,2,5,0,8,2,36,6,9,
0.8988,6,40,1,1,8,33,17,5,25,5,7,25,0,8,6,4,10,5,4,47,8,5,
0.9013,9,61,1,1,24,30,24,6,25,5,7,6,0,8,3,3,11,8,1,51,1,5,
0.9039,11,21,0,1,22,63,42,6,16,5,6,15,1,6,6,4,8,12,3,32,9,15,
0.9064,8,13,1,1,5,19,42,6,30,3,8,23,0,6,3,2,9,10,3,0,8,0,
0.9089,9,62,0,1,1,32,13,4,19,3,4,23,1,5,7,2,15,9,5,24,4,4,
0.9115,7,53,1,0,23,60,10,3,28,1,9,10,1,6,7,3,15,5,1,51,11,9,
0.914,13,17,1,0,16,54,38,3,33,1,11,3,1,6,6,3,6,5,5,46,8,9,
0.9165,10,35,1,0,14,38,4,3,31,4,8,23,1,8,2,5,9,7,4,30,1,1,
0.9191,6,65,1,0,18,21,21,4,25,6,8,14,1,8,4,3,12,9,1,38,0,4,
0.9217,8,48,1,0,25,65,36,7,18,4,10,11,1,9,1,5,9,7,2,54,6,8,
0.9243,0,19,1,1,12,54,37,6,26,0,10,4,1,7,5,5,10,10,4,47,6,8,
0.9267,6,21,1,0,8,36,5,7,14,5,3,25,0,8,4,3,5,10,5,35,4,8,
0.9294,4,54,1,1,24,29,16,6,17,2,11,16,0,9,7,3,13,10,1,50,7,5,
0.9319,6,9,1,1,18,55,40,6,23,6,4,9,0,10,0,7,3,11,1,54,6,13,
0.9343,6,31,1,1,6,33,33,6,29,4,4,25,0,7,3,7,7,10,3,50,2,5,
0.9368,10,59,1,1,8,36,33,6,21,7,3,25,0,6,8,3,9,8,2,36,1,6,
0.9394,12,64,0,1,23,58,16,6,22,3,4,18,0,11,5,3,11,5,1,54,9,8,
0.942,14,7,0,1,20,62,43,6,30,0,2,25,0,10,2,6,2,5,4,42,10,14,
0.9445,9,3,0,1,10,36,35,6,26,5,3,25,0,9,7,6,3,10,1,33,0,8,
0.9472,9,61,1,1,11,11,16,1,17,5,10,22,1,6,7,0,14,11,3,12,5,5,
0.9498,8,47,0,1,19,61,29,3,7,5,10,0,1,8,4,0,13,4,1,52,10,7,
0.9525,8,15,0,1,17,56,37,3,28,5,10,17,1,40,8,9,6,14,9,2,29,5,9
0.9553,7,79,1,1,16,45,28,6,18,9,5,27,0,8,10,3,15,15,3,14,7,12,
0.9563,9,84,1,1,2,6,16,,,,,,,,,,,,,,,,
0.9588,4,1,1,1,14,38,24,6,33,6,8,30,0,8,9,6,14,9,2,29,5,9,
0.9615,7,79,1,1,16,45,28,6,18,9,5,27,0,8,10,3,15,15,3,14,7,12,
0.9696,9,84,1,1,21,64,22,7,10,7,3,17,1,8,7,5,14,9,4,69,9,18,
1.035,8,50,1,0,11,59,38,6,28,4,12,11,1,9,4,5,0,5,3,30,5,9,
1.1005,8,35,1,1,8,36,19,5,29,8,4,22,0,9,12,6,6,8,3,27,5,1,
1.1622,8,75,1,1,7,29,21,5,21,8,11,7,0,8,7,3,12,10,1,29,2,8,
1.2314,14,43,1,1,21,66,43,6,18,7,7,3,1,6,13,5,0,10,5,46,11,15,
