0.7932	5	6	1	1	22	34	6	0	2	8	12	13	1	10	14	0	12	1	3	21	4	1
0.7965	4	12	1	1	16	44	69	6	3	7	12	27	0	5	4	3	6	4	10	26	4	9
0.8	3	7	1	1	13	6	45	0	11	5	11	51	0	5	10	4	8	7	7	9	0	6
0.8274	6	10	1	1	3	9	48	1	0	9	11	47	0	8	9	3	6	1	7	1	0	0
0.8301	6	10	1	1	18	49	20	0	9	9	7	15	1	5	11	0	13	1	9	31	8	1
0.8331	3	9	1	1	3	54	67	8	11	6	6	16	0	9	5	3	8	3	10	28	4	8
0.8357	7	1	1	1	7	20	37	5	13	4	11	37	0	6	0	4	4	5	9	23	3	4
0.8382	5	9	1	1	14	23	39	3	13	5	10	49	1	8	13	3	15	5	9	1	9	4
0.8407	5	7	1	1	27	45	41	7	1	4	8	19	0	5	14	3	8	4	3	23	2	6
0.8432	5	9	1	0	19	48	68	9	5	6	9	33	1	7	7	3	4	3	9	40	4	8
0.8457	1	9	1	1	15	20	2	3	11	4	11	49	1	6	8	3	7	2	6	10	7	3
0.8482	6	11	1	0	21	15	33	4	0	5	7	48	1	9	16	3	12	4	6	22	4	4
0.8507	2	12	1	1	20	42	14	4	3	8	9	24	1	7	13	3	11	3	8	30	4	7
0.8532	1	10	1	1	11	55	66	7	6	3	8	31	1	6	23	3	7	5	9	29	7	5
0.856	1	4	0	1	0	6	56	2	11	3	12	37	1	3	11	1	10	3	8	16	5	1
0.8585	4	13	0	1	6	18	28	6	11	0	10	47	1	8	12	0	14	2	8	7	6	0
0.8611	2	13	1	1	31	38	24	0	9	4	8	5	1	2	15	0	12	1	3	26	7	5
0.8637	6	12	0	1	11	48	81	10	9	5	10	10	1	5	5	2	11	1	8	34	7	8
0.8664	0	16	1	1	27	10	15	6	12	7	11	42	1	6	14	1	10	0	8	8	3	1
0.8688	9	10	1	1	13	9	40	2	8	6	17	53	0	9	14	3	8	4	8	7	5	0
0.8714	7	10	1	1	32	40	46	7	0	11	10	19	1	7	13	3	9	5	10	29	4	12
0.874	6	9	1	0	20	53	65	10	6	7	10	22	1	6	11	3	5	8	9	31	6	13
0.8766	3	14	0	1	20	21	44	8	15	4	11	37	1	7	6	5	6	8	5	25	5	10
0.8791	4	14	0	1	9	27	65	5	7	6	11	40	1	4	15	3	9	6	9	21	6	6
0.8817	4	12	0	1	25	45	36	8	17	5	13	16	1	8	18	0	13	2	3	19	9	5
0.8842	4	4	1	1	30	44	78	7	8	11	8	4	0	5	3	3	9	5	10	27	6	14
0.8868	7	7	1	1	27	21	47	6	11	7	9	42	0	4	10	2	9	6	5	11	4	15
0.8894	8	12	1	1	19	15	28	10	5	8	9	40	0	9	13	3	10	5	5	12	6	6
0.8918	6	6	1	0	28	42	0	7	9	7	7	32	1	8	19	3	9	5	8	36	4	10
0.8944	7	6	1	1	34	50	58	6	8	6	7	28	1	6	8	3	9	5	8	21	3	12
0.8969	5	9	1	0	17	15	83	9	16	7	10	45	1	5	2	3	12	3	7	13	3	10
0.8995	3	15	0	1	19	10	63	11	5	8	11	48	1	0	13	0	10	3	6	25	6	8
0.902	4	12	1	1	26	34	64	2	3	7	11	22	1	9	16	0	12	5	4	9	9	7
0.9047	5	2	1	1	23	46	73	2	4	11	12	21	1	8	5	0	11	3	10	22	8	16
0.9071	6	4	1	1	9	10	81	9	16	8	12	1	0	5	4	3	9	5	6	8	5	15
0.9095	7	7	1	1	25	21	42	1	9	9	9	46	0	8	12	2	6	5	5	11	4	8
0.9121	6	8	1	1	34	33	26	7	12	3	10	9	1	8	15	0	11	3	10	24	8	2
0.9147	3	8	1	1	30	50	63	9	11	6	15	50	0	7	9	3	7	5	10	24	4	13
0.9172	4	5	1	1	21	25	87	8	13	5	9	28	1	8	8	3	4	8	5	29	5	10
0.9201	4	13	1	0	23	17	0	6	11	8	8	37	1	2	13	3	4	6	7	22	6	13
0.9228	6	12	1	0	35	22	100	6	0	6	11	42	1	9	16	0	13	4	6	30	7	8
0.9255	0	13	0	1	28	45	97	5	10	11	9	13	1	7	11	1	12	5	10	26	7	17
0.9281	6	11	1	0	16	44	69	12	15	7	8	28	1	6	3	3	7	5	7	41	4	13
0.9307	6	6	1	0	10	23	52	9	12	10	12	50	1	7	10	1	6	7	8	23	4	0
0.9332	2	14	0	1	15	20	53	7	28	8	14	51	1	7	13	0	12	3	7	28	3	7
0.9358	2	11	1	1	31	43	77	4	7	9	11	2	1	7	17	3	11	2	9	34	8	9
0.9384	4	8	1	1	12	48	79	8	12	5	9	27	1	9	10	4	7	5	9	28	4	18
0.9407	7	2	1	1	17	8	70	8	15	6	9	44	0	6	7	2	6	7	7	7	0	11
0.9433	6	9	1	1	23	18	54	7	13	7	11	46	0	8	10	3	12	6	5	12	3	15
0.9459	4	9	1	0	35	40	36	8	4	7	9	31	0	7	15	3	10	5	3	29	4	11
0.9485	5	10	1	1	20	53	91	11	13	10	7	21	1	7	12	3	8	5	8	38	7	17
0.951	2	8	0	1	9	15	77	7	16	5	12	41	1	6	6	2	12	3	7	16	3	13
0.9535	8	13	1	1	5	0	47	3	16	2	11	49	1	7	17	1	12	2	5	0	6	7
0.9561	6	14	0	1	21	56	40	7	5	5	8	11	1	8	18	0	10	2	10	33	6	7
0.9587	1	8	1	1	21	58	64	3	8	8	11	13	1	6	7	0	13	2	10	33	8	16
0.9612	2	7	1	1	22	28	80	9	16	7	12	47	2	7	7	4	9	5	7	23	3	15
0.9638	6	8	1	0	28	35	46	13	8	10	8	48	1	9	12	3	5	2	6	20	7	9
0.9664	4	11	1	1	25	50	0	9	3	10	9	29	0	9	15	3	8	6	4	31	4	7
0.9689	6	8	1	0	26	55	80	7	2	8	9	30	1	8	8	3	5	5	10	40	7	20
0.9715	2	10	0	1	15	23	78	5	14	8	11	34	1	8	12	3	3	5	9	12	4	12
0.974	7	15	0	1	8	26	24	7	6	7	12	53	1	8	10	3	16	4	4	10	6	13
0.9764	6	10	0	1	22	64	1	6	16	9	8	6	1	7	16	2	11	3	9	31	3	6
0.9788	6	6	0	1	30	70	86	4	4	2	9	12	1	6	1	0	10	2	10	43	6	11
0.9812	7	5	1	1	8	32	91	5	13	6	11	31	1	6	3	0	11	4	7	7	3	12
0.9837	7	11	1	1	21	20	68	3	14	9	11	46	0	0	12	3	6	4	7	12	8	7
0.9864	7	9	1	1	23	55	22	4	6	7	11	28	0	9	16	3	10	5	1	29	4	10
0.9889	6	10	1	1	23	50	82	8	7	8	12	14	1	8	7	3	9	5	10	44	5	15
0.9915	2	10	1	0	24	24	74	8	17	7	11	35	1	6	6	3	7	10	6	18	6	15
0.9941	2	10	0	1	11	36	35	5	13	7	10	51	1	8	5	1	12	4	7	2	7	2
0.9966	3	10	0	1	26	39	45	9	9	7	9	14	1	9	15	0	11	5	9	3	8	7
0.9992	8	11	0	1	29	65	83	4	14	7	9	38	1	5	0	0	10	2	10	31	5	14
1.0016	5	10	1	1	21	30	99	4	13	6	14	32	0	9	5	4	6	6	9	0	6	8
1.005	8	9	1	1	9	34	48	7	14	10	11	47	0	5	11	3	7	5	4	16	5	0
1.0099	6	8	1	1	25	45	33	7	5	6	13	36	0	9	19	3	9	5	5	18	11	11
1.0152	8	11	1	1	22	59	86	6	27	7	9	3		14	1	10	3	18	109	12	1	6	20	31
1.016	28
1.0212	27	22	1	2	9	48	5	19	29	10	10	12	1	11	5	19	109	13	2	10	21	31
1.0265	25	26	1	1	13	50	41	21	19	12	9	14	1	10	3	18	109	12	1	6	20	31
1.0321	28	257	22	1	2	9	48	5	19	29	10	10	12	1	11	5	19	109	13	2	10	21	31
1.0374	25	26	1	1	13	50	41	21	19	12	9	14	1	10	3	18	109	12	1	6	20	31
1.0428	28	25	0	2	11	53	0	23	26	14	10	15	1	10	9	18	104	11	2	11	19	29
1.0988	28	25	1	2	11	51	18	20	23	11	9	18	0	11	0	14	100	13	2	7	24	28
1.1603	27	20	1	1	11	36	27	17	31	11	10	13	1	11	3	19	96	11	1	11	18	33
1.2219	29	25	1	1	12	53	12	21	26	10	11	13	1	9	0	18	105	13	2	9	23	31
1.2871	21	23	0	2	12	45	23	20	33	14	9	18	1	10	6	16	107	13	2	5	22	34
1.3487	29	22	1	2	11	43	13	20	0	10	12	21	1	9	4	19	105	13	2	10	23	29
1.4101	29	24	1	1	9	35	39	19	20	12	10	8	1	8	1	19	96	10	1	9	16	29
1.4756	29	24	1	1	13	37	18	27	20	11	10	17	1	9	5	19	103	13	1	6	18	31
1.5368	25	26	0	2	8	47	25	20	16	14	10	13	1	8	1	17	92	9	2	9	17	35
1.5984	25	26	0	2	13	46	3	20	3	10	10	15	1	8	9	17	112	11	2	8	21	33
1.6639	22	25	1	2	10	45	40	20	23	12	10	15	1	9	0	17	109	11	2	10	17	25
1.7254	29	24	1	2	10	40	13	20	13	10	10	14	0	10	10	19	102	13	2	4	23	36
1.787	24	24	1	2	13	48	27	17	19	14	10	12	2	10	5	19	100	13	1	10	14	27
1.8523	28	27	0	2	11	40	9	22	13	13	11	9	1	10	10	17	110	11	2	13	14	32
1.9139	25	21	1	2	11	46	21	20	15	14	13	16	2	10	4	17	102	11	2	6	20	26
1.9753	29	20	1	1	13	53	19	21	5	11	11	10	1	10	5	19	107	13	1	13	15	34
2.0368	25	24	1	2	13	49	23	20	16	9	9	12	1	4	8	19	115	11	2	8	20	32
2.102	24	25	0	2	13	44	16	20	20	12	8	13	1	10	9	17	109	11	2	9	12	35
2.1638	21	22	1	2	11	51	24	20	15	13	8	15	0	11	9	15	110	13	2	4	23	29
2.2252	27	23	1	2	11	42	16	20	4	12	10	15	0	10	9	19	104	13	2	4	19	28
2.2905	28	23	1	1	13	50	25	18	26	11	10	13	1	11	7	18	106	11	1	7	21	32
2.3521	21	22	0	2	8	42	5	21	10	14	10	15	1	10	12	17	106	13	2	8	15	31
