0.8209,21,28,3,3,12,41,103,6,3,11,5,7,2,6,5,4,26,12,0,44,7,21,,,,,,,
0.8244,10,27,4,4,5,38,106,4,30,7,3,7,3,5,8,4,13,8,1,64,8,24,,,,,,,
0.8282,9,9,3,6,3,0,92,7,31,9,5,4,3,2,18,1,11,5,1,55,5,22,,,,,,,
0.8511,2,22,5,9,4,34,39,1,27,13,5,13,4,2,10,2,17,8,1,8,3,19,,,,,,,
0.8553,20,10,8,6,6,36,80,0,28,13,5,17,4,4,12,3,20,6,1,34,3,9,,,,,,,
0.8583,23,50,1,6,8,29,69,2,8,13,2,14,3,4,16,6,20,9,0,38,7,0,,,,,,,
0.8609,23,54,0,11,13,6,30,3,0,6,3,17,2,4,13,6,28,12,0,29,7,17,,,,,,,
0.8636,16,55,0,11,9,60,0,4,10,5,8,8,3,4,15,4,29,11,1,41,7,32,,,,,,,
0.8666,7,50,2,10,10,55,47,2,19,9,5,5,4,6,9,5,30,11,1,61,1,9,,,,,,,
0.8696,2,19,3,9,12,50,97,3,11,6,4,16,1,4,0,3,27,13,1,56,8,24,,,,,,,
0.8721,10,29,5,4,9,55,95,6,19,5,8,4,1,3,9,2,14,11,1,61,8,24,,,,,,,
0.8747,5,32,4,3,7,28,96,3,31,11,6,0,3,2,10,2,11,4,1,42,5,23,,,,,,,
0.8774,0,24,4,3,7,19,53,1,27,13,5,15,2,4,14,3,12,5,1,0,8,24,,,,,,,
0.88,21,25,5,10,8,45,52,1,29,14,5,15,4,2,0,0,0,3,1,57,1,17,,,,,,,
0.8827,23,51,3,4,7,27,26,2,12,14,2,13,3,4,22,7,11,3,0,46,4,4,,,,,,,
0.8853,26,51,2,9,12,32,38,0,12,7,4,11,3,4,24,6,21,9,0,37,7,17,,,,,,,
0.8886,21,54,2,11,9,55,36,6,20,5,7,11,3,4,20,7,32,11,1,45,3,22,,,,,,,
0.8913,2,52,2,11,9,58,65,6,17,8,0,16,4,3,13,6,32,12,1,47,7,15,,,,,,,
0.894,19,36,2,9,12,56,111,9,17,3,7,11,3,7,15,7,32,11,1,60,6,21,,,,,,,
0.8968,14,22,4,10,9,55,103,6,10,7,6,11,4,6,10,5,17,13,1,56,3,22,,,,,,,
0.9004,18,33,0,6,9,58,107,10,28,6,8,1,4,4,17,4,9,10,1,70,4,30,,,,,,,
0.9031,20,25,3,3,6,37,114,6,32,8,5,0,0,3,22,4,4,6,1,45,5,24,,,,,,,
0.9057,0,21,6,4,7,27,57,4,33,10,6,14,5,3,9,4,17,9,1,51,4,28,,,,,,,
0.9082,8,23,4,3,7,37,0,2,34,12,3,17,5,2,21,2,5,7,1,31,3,20,,,,,,,
0.9108,27,50,2,5,9,31,32,3,3,13,4,15,5,2,19,7,18,5,1,8,3,9,,,,,,,
0.9134,25,53,2,9,10,29,47,4,0,8,4,14,5,2,22,6,29,12,1,6,5,23,,,,,,,
0.9161,33,42,2,11,11,52,1,0,22,7,4,13,4,4,22,6,30,13,0,51,2,15,,,,,,,
0.9191,7,40,2,9,12,47,62,14,6,4,10,7,5,4,18,6,30,11,1,74,4,18,,,,,,,
0.9218,16,23,4,11,9,55,112,2,13,5,5,5,3,1,7,7,27,12,1,62,5,21,,,,,,,
0.9245,12,19,4,6,6,53,115,10,20,6,4,8,4,5,9,6,16,13,0,66,8,25,,,,,,,
0.9273,14,51,5,7,10,44,108,10,31,6,6,3,5,5,17,5,10,8,1,77,5,23,,,,,,,
0.9302,12,25,3,7,8,28,83,8,29,13,5,7,5,3,6,3,6,7,1,38,5,22,,,,,,,
0.9329,14,20,6,7,8,31,74,7,30,13,3,14,5,5,17,1,5,10,1,30,0,25,,,,,,,
0.9356,30,40,3,8,10,19,97,10,22,13,6,11,3,4,18,7,0,8,0,42,5,11,,,,,,,
0.9383,31,53,2,6,5,33,69,13,14,11,6,9,5,4,24,5,7,4,1,51,7,23,,,,,,,
0.941,29,53,2,11,10,26,78,5,13,5,4,14,5,4,27,7,30,12,1,15,0,19,,,,,,,
0.9438,30,53,2,9,12,49,38,9,14,0,4,14,3,4,22,7,26,12,0,48,15,21,,,,,,,
0.9465,9,56,0,11,8,60,66,10,13,11,8,2,4,3,26,6,34,10,1,53,7,21,,,,,,,
0.9498,9,32,2,9,12,55,105,8,10,10,5,6,4,5,16,6,30,13,0,77,12,20,,,,,,,
0.9528,17,25,2,11,12,58,120,10,13,8,6,7,5,5,11,7,29,11,1,57,7,25,,,,,,,
0.9556,23,21,3,4,11,53,117,9,16,8,4,9,3,4,15,4,10,12,0,70,11,22,,,,,,,
0.9586,0,33,2,1,9,48,117,16,31,7,6,1,5,4,17,5,19,4,1,36,8,26,,,,,,,
0.9615,2,27,5,9,0,14,112,11,33,11,6,7,4,2,28,5,17,6,1,21,9,21,,,,,,,
0.9642,16,12,7,4,7,13,48,6,35,15,3,15,5,2,19,6,12,7,1,47,0,19,,,,,,,
0.9669,32,43,4,2,8,24,33,11,27,15,3,14,5,4,23,6,8,5,0,50,9,15,,,,,,,
0.9696,26,52,1,7,6,32,53,14,1,11,6,14,4,4,21,7,16,4,0,45,13,25,,,,,,,
0.9722,27,50,2,11,8,40,77,6,12,5,5,13,5,2,24,7,32,13,1,6,9,27,,,,,,,
0.9749,28,43,2,9,13,55,62,3,7,9,2,3,5,2,22,7,27,13,1,39,8,22,,,,,,,
0.978,9,46,2,9,13,53,76,9,19,12,2,5,3,4,17,7,28,13,0,72,13,19,,,,,,,
0.9809,14,18,0,9,10,53,108,10,14,8,6,0,5,1,16,3,30,10,1,62,10,23,,,,,,,
0.9836,19,8,2,5,13,48,109,6,6,12,3,11,3,4,12,5,26,11,1,71,13,23,,,,,,,
