0.4891	4	24	5
0.4898	6	28	3
0.4904	9	38	8
0.4912	9	10	5
0.4924	5	30	6
0.4934	4	21	5
0.4944	5	30	5
0.4956	4	30	6
0.4968	5	33	6
0.4979	11	19	4
0.4987	5	18	3
0.4994	7	25	6
0.5001	5	13	4
0.5008	6	38	6
0.5016	6	24	6
0.5023	5	34	3
0.5031	4	19	6
0.5039	5	27	6
0.5046	5	15	5
0.5054	6	25	3
0.5062	7	32	8
0.507	4	12	3
0.5078	7	36	4
0.5085	8	19	5
0.5092	3	32	4
0.5099	9	27	3
0.5106	9	26	5
0.5115	8	22	8
0.5122	6	31	3
0.5129	7	26	8
0.5136	6	18	10
0.5142	4	35	4
0.515	3	21	6
0.5157	5	32	5
0.5166	3	26	4
0.5173	4	34	7
0.518	7	26	8
0.5187	9	21	7
0.5195	3	22	9
0.5202	6	26	10
0.5209	6	29	6
0.5217	4	12	8
0.5225	5	31	6
0.5232	5	25	3
0.5239	8	30	6
0.5246	9	19	9
0.5254	6	25	6
0.5263	8	10	8
0.5271	9	27	7
0.5279	3	30	5
0.5286	8	26	9
0.5294	1	33	6
0.5301	5	27	5
0.5309	6	28	5
0.5316	0	0	0
0.5323	0	14	0
0.533	0	11	6
0.5336	2	9	1
0.5343	3	0	0
0.535	0	8	5
0.5357	2	18	3
0.5364	6	3	1
0.5371	0	19	2
0.5378	5	15	5
0.5385	2	12	1
0.5393	4	10	3
0.54	5	11	4
0.541	2	25	1
0.5416	2	6	3
0.5423	1	18	0
0.5431	4	12	2
0.5438	2	16	6
0.5446	2	11	1
0.5454	1	16	3
0.5461	0	0	7
0.547	2	16	4
0.5478	7	17	2
0.5484	2	14	0
0.5492	0	32	8
0.5499	6	20	3
0.5507	1	26	6
0.5516	5	19	4
0.5522	3	25	1
0.5529	7	13	4
0.5536	3	14	4
0.5543	3	11	5
0.5551	2	13	2
0.5559	8	19	4
0.5566	6	19	2
0.5573	3	30	5
0.5581	2	13	7
0.5589	1	28	0
0.5596	4	5	9
0.5605	2	19	4
0.5612	6	2	3
0.5619	2	20	2
0.5625	0	17	7
0.5633	4	26	2
0.5641	4	27	4
0.5652	6	6	7
0.5662	1	27	4
0.5671	4	22	5
0.5679	4	27	3
0.5686	8	16	5
0.5692	4	11	3
0.5699	5	16	8
0.5706	2	17	5
0.5713	6	33	4
0.572	7	21	5
0.5727	6	34	3
0.5733	5	23	1
0.574	4	30	8
0.5753	5	15	4
0.5763	1	19	2
0.5772	4	28	8
0.5784	3	19	8
0.5792	7	37	3
0.5803	6	24	4
0.5812	6	34	5
0.5819	5	29	3
0.5827	4	29	7
0.5835	10	17	3
0.5842	2	23	7
0.5852	5	18	5
0.586	4	38	5
0.5867	1	38	9
0.5874	3	20	6
0.588	4	34	2
0.5886	2	15	9
0.5893	3	33	6
0.59	6	21	5
0.5907	4	19	5
0.5915	4	32	6
0.5921	4	33	1
0.5927	5	32	8
0.5934	3	24	3
0.5941	3	38	5
0.5951	4	27	4
0.5958	9	34	3
0.5965	2	13	7
0.5971	4	20	6
0.5978	6	17	5
0.5985	5	29	1
0.5993	5	31	6
0.6	1	28	4
0.6008	8	31	6
0.6016	6	11	6
0.6242	5	35	6
0.625	5	26	8
0.6257	4	25	4
0.6265	8	37	6
0.6272	4	23	3
0.6281	10	16	11
0.6291	9	31	7
0.6298	4	13	9
0.6305	6	25	6
0.6313	7	24	7
0.6316	
0.6321	4	19	4
0.6329	8	18	5
0.6335	7	23	4
0.6341	9	33	7
0.6348	9	18	4
0.6356	3	34	9
0.6364	9	8	11
0.6371	4	35	3
0.6378	7	0	9
0.6388	10	16	11
0.6395	9	31	7
0.6403	4	13	9
0.641	6	25	6
0.6417	7	24	7
0.6424	5	32	8
0.6963	6	14	8
0.7497	8	25	5
0.803	9	9	7
0.8605	8	18	2
0.9137	4	27	3
0.9669	4	11	5
1.024	6	28	7
1.0773	4	25	7
1.1307	5	20	4
1.1878	5	14	3
1.2411	3	30	2
1.2949	7	10	6
1.3516	6	10	3
1.405	10	18	7
1.4583	4	15	5
1.5154	7	14	2
1.5687	7	0	5
1.6259	6	26	10
1.6792	8	9	4
1.7325	5	27	1
1.7897	6	15	10
1.843	3	21	5
1.8964	1	23	5
1.9498	3	3	7
2.0068	3	19	6
2.0602	4	6	4
2.1136	6	18	7
2.1707	9	18	8
2.2247	3	30	5
2.2775	3	7	8
2.3345	5	18	5
2.388	0	28	4
2.4413	5	13	5
2.4984	8	21	8
2.5519	9	17	3
2.6052	5	31	5
2.6622	6	13	5
2.7156	2	29	6
2.7712	8	6	2
2.826	6	23	8
2.8795	7	12	4
2.9328	5	22	8
2.9898	3	20	9
3.0432	4	6	9
3.0966	5	31	2
3.1538	8	21	6
3.2074	4	27	6
3.2606	6	7	3
3.3176	5	24	8
3.371	10	10	6
3.4245	5	20	8
3.4817	4	10	8
3.5348	8	27	2
3.5881	7	18	4
3.6452	5	19	2
3.6986	2	22	2
3.752	8	23	7
3.809	5	25	6
3.8624	7	10	8
3.9158	5	23	4
3.973	9	20	8
4.0265	5	27	3
4.0798	4	19	2
4.133	8	2	7
4.1901	7	17	4
4.2435	4	22	2
4.3006	5	28	5
4.3539	10	14	7
4.4074	5	15	1
4.4644	5	12	8
4.5177	6	20	2
4.5711	0	17	6
4.6245	9	12	4
4.6816	8	12	6
4.7353	12	18	2
4.7922	9	27	10
4.8457	11	14	3
4.899	12	23	5
4.9559	7	19	6
5.0093	11	25	5
5.0628	11	13	2
5.1198	11	15	6
5.1732	11	19	7
5.2264	10	0	6
5.2838	9	26	4
5.3371	12	12	0
5.3905	12	27	4
5.4475	11	21	9
5.5009	11	22	4
5.5581	12	20	10
5.6076	9	5	7
5.6647	2	19	2
5.7187	9	32	10
5.7753	12	26	4
5.8287	11	16	7
5.8821	9	18	5
5.939	15	8	6
5.9923	7	27	8
6.0459	10	13	8
6.1028	12	21	5
6.1563	9	27	10
6.2096	7	11	1
6.2666	9	28	1
6.32	11	0	3
6.3735	9	27	10
6.4304	10	13	4
6.4839	10	22	7
6.5373	10	15	8
6.5946	8	15	10
6.6479	16	31	7
6.7014	15	18	1
6.7584	8	36	7
6.8119	10	11	11
6.8652	10	32	4
6.922	4	8	8
6.9756	9	28	4
7.0288	14	6	4
7.0858	8	17	4
7.1392	9	23	9
7.1926	9	25	7
7.2497	9	35	5
7.3031	2	33	7
7.3564	11	39	5
7.4135	10	16	8
7.467	9	26	8
7.5203	9	34	7
7.5775	8	30	6
7.6307	9	15	3
7.6842	13	25	4
7.7412	8	40	9
7.7946	9	28	4
7.848	9	33	3
7.9055	11	20	7
7.9586	8	35	4
8.0119	6	11	8
8.069	9	29	6
8.1225	6	345	9
8.1797	11	34	10
8.233	5	30	6
8.2862	10	19	6
8.3432	8	34	2
8.3966	8	12	8
8.45	9	33	5
8.5073	15	36	10
8.5605	8	25	2
8.6139	9	38	3
8.6709	0	14	6
8.7243	9	36	3
8.7777	10	21	4
8.835	11	18	8
8.8881	8	32	6
8.9415	9	28	7
8.9987	16	24	7
9.052	13	15	1
9.1054	17	43	5
9.1625	12	11	7
9.2159	12	33	3
9.2692	11	22	9
9.3262	0	0	0
9.3796	6	4	0
9.4332	4	0	6
9.4902	0	8	5
9.5436	2	9	0
9.5971	1	7	2
9.6541	6	0	3
9.7074	3	23	8
9.7608	7	11	5
9.818	5	12	6
9.8713	10	0	5
9.9247	4	14	6
9.9781	2	0	5
10.0351	6	10	2
10.0885	7	20	9
10.1421	9	0	7
10.199	7	17	2
10.2524	11	3	4
10.3094	6	17	8
10.3628	12	14	5
10.4162	5	13	5
10.4733	9	17	10
10.5266	7	11	6
10.5798	11	18	2
10.6332	9	8	4
10.6902	4	24	1
10.7436	9	0	2
10.8007	8	32	8
10.8541	6	19	5
10.9074	5	33	3
10.9646	5	19	5
11.018	7	17	3
11.0713	8	31	4
11.1284	4	14	7
11.1818	8	24	2
11.2352	6	20	6
11.2922	3	35	6
11.3456	5	18	5
11.3991	5	28	8
11.456	8	24	7
11.5094	1	29	2
11.5628	6	30	0
11.6199	1	27	7
11.6733	2	33	7
11.7266	2	24	7
11.7837	1	35	6
11.8371	0	17	5
11.8904	1	30	7
11.9476	0	20	7
12.0009	2	23	4
12.0543	2	22	7
12.1114	4	25	8
12.1648	2	31	3
12.2181	1	22	7
12.2753	0	41	11
12.3286	0	23	2
12.3819	7	41	7
12.4391	4	23	9
12.4924	4	35	8
12.5458	7	25	5
12.5991	5	17	6
12.6562	8	34	7
12.7096	6	34	6
12.763	5	40	6
12.8201	9	25	7
12.8734	6	43	7
12.9306	4	21	10
12.9839	6	35	8
13.0373	0	25	8
13.0944	8	37	7
13.1478	11	39	5
13.2012	10	40	5
13.2582	7	46	4
13.3116	9	30	3
13.365	6	36	12
13.4221	11	32	8
13.4755	7	37	7
13.5288	6	35	7
13.5859	7	27	3
13.6393	6	45	8
13.6926	9	27	5
13.7497	7	42	2
13.8031	8	32	4
13.8565	11	47	7
13.9136	7	21	6
13.967	9	38	8
14.0204	2	36	10
14.0774	4	33	4
14.1308	5	39	3
14.1881	11	27	10
14.2413	8	47	6
14.2946	9	18	4
14.3481	6	33	2
14.4051	7	34	6
14.4585	7	32	5
14.5118	8	21	4
14.5689	9	26	5
14.6224	6	40	10
14.6758	7	29	6
14.7328	14	40	5
14.7862	8	21	8
14.8396	6	35	6
14.8966	8	27	7
14.9501	12	30	9
15.0034	6	22	8
15.0605	7	25	4
15.1139	10	29	5
15.1674	10	15	4
15.2243	7	38	8
15.2777	9	27	9
15.3312	6	32	4
15.3882	10	13	7
15.4415	7	24	9
15.4949	8	18	8
15.5519	8	12	6
15.6054	7	23	9
15.6587	7	25	6
15.7158	7	30	8
15.7692	6	26	10
15.8227	12	30	2
15.8797	5	26	8
15.9331	9	26	8
15.9864	12	31	6
16.0435	8	36	6
16.097	6	17	3
16.1502	9	10	3
16.2073	8	39	6
16.2607	7	15	10
16.314	5	33	5
16.3711	12	5	3
16.4246	9	33	10
16.4779	12	24	4
16.5351	10	31	11
16.5883	5	35	5
16.6417	7	22	5
16.699	8	32	5
16.7522	8	22	2
16.8056	6	41	6
16.8627	10	36	10
16.916	4	30	3
16.9694	9	22	7
17.0266	6	21	7
17.0798	6	21	1
17.1332	6	21	6
17.1903	6	29	8
17.2437	6	29	3
17.2971	8	31	4
17.3541	5	14	7
17.4076	10	30	3
17.4609	4	12	5
17.518	11	24	7
17.5714	6	23	6
17.6248	7	24	4
17.6818	9	29	4
17.7352	9	4	7
17.7885	9	37	7
17.8457	7	28	8
17.899	7	31	11
17.9524	7	30	4
18.0095	8	26	3
18.0628	7	20	6
18.1162	8	27	7
18.1733	6	28	4
18.2267	7	27	3
18.2801	7	25	0
18.3372	10	22	0
18.3905	6	29	7
18.4439	10	15	7
18.4973	8	24	6
18.5544	7	21	7
18.6077	7	24	8
18.6611	8	25	4
18.7181	8	8	8
18.7715	6	34	8
18.8249	8	28	7
18.882	6	31	5
18.9355	3	19	6
18.9888	5	29	9
19.0459	6	15	7
19.0992	8	16	5
19.1526	5	29	7
19.2097	10	32	9
19.2631	8	22	6
19.3166	8	28	6
19.3735	8	27	8
19.4269	9	19	8
19.4803	8	32	8
19.5374	12	19	6
19.5907	8	29	4
19.644	8	17	3
19.7011	8	15	7
19.7546	9	20	10
19.8079	7	35	6
