0.3447,16,13,35
0.3461,8,16,10
0.3478,7,7,13
0.3498,17,13,37
0.3679,15,12,12
0.3685,10,9,21
0.3692,14,15,37
0.3698,14,16,19
0.3704,13,12,13
0.371,9,15,38
0.3716,14,15,27
0.3723,15,11,21
0.373,7,11,36
0.3738,15,14,37
0.3745,16,13,17
0.3751,1,11,26
0.3757,16,12,37
0.3764,14,12,13
0.377,12,16,3
0.3777,11,10,39
0.3783,14,16,13
0.3789,6,17,25
0.38,10,13,33
0.3808,13,15,28
0.3814,7,13,28
0.3822,13,11,40
0.3829,14,17,35
0.3835,4,10,17
0.3841,18,10,13
0.3847,20,15,37
0.3853,11,10,1
0.3859,17,14,0
0.3866,13,16,35
0.3874,14,17,26
0.388,9,11,29
0.3886,4,12,39
0.3892,19,12,28
0.3898,7,16,28
0.3905,16,12,17
0.3911,17,15,27
0.3917,5,13,0
0.3923,9,11,26
0.3929,17,15,42
0.3935,7,14,20
0.3942,13,14,22
0.3948,16,12,37
0.3955,17,14,29
0.3961,11,8,23
0.3967,15,16,40
0.3974,16,15,32
0.398,11,16,25
0.3986,10,8,36
0.3993,17,12,36
0.3999,18,16,23
0.4005,5,16,35
0.4011,14,15,37
0.4016,7,17,14
0.4023,18,11,30
0.403,15,13,39
0.4039,13,10,28
0.4047,3,12,5
0.4055,20,12,38
0.4062,14,15,25
0.407,12,10,23
0.4076,19,13,35
0.4083,14,14,23
0.4089,19,11,29
0.4095,9,14,29
0.4102,14,12,39
0.4109,13,11,16
0.4116,13,14,16
0.4123,14,15,40
0.4129,11,11,16
0.4135,11,17,0
0.4142,14,13,38
0.4149,14,16,40
0.4155,9,15,35
0.4161,16,8,39
0.4168,13,16,20
0.4173,15,9,26
0.418,12,6,42
0.4186,14,15,40
0.4192,9,11,15
0.4198,13,16,22
0.4204,14,16,39
0.4211,13,11,31
0.4217,15,13,31
0.4225,13,12,44
0.4233,18,14,25
0.4241,13,16,12
0.4248,8,12,43
0.4255,13,18,27
0.4264,0,15,28
0.4273,15,11,43
0.4281,18,15,39
0.4288,0,11,35
0.4295,22,8,12
0.4303,18,17,44
0.4311,14,12,15
0.4319,22,13,29
0.4327,19,15,39
0.4337,18,16,19
0.4346,17,13,18
0.4354,2,14,36
0.4365,22,14,16
0.4373,10,12,20
0.4382,23,13,45
0.4391,25,15,39
0.44,15,11,33
0.4408,12,12,37
0.4416,18,18,40
0.4426,15,18,20
