0.6503,1,0,2,6,6,4,10,4,6,91,3,6,4,13,11,7,24,3,6,,,,,,
0.6538,1,0,1,1,31,2,3,6,2,10,1,7,142,6,11,8,15,8,10,21,0,5,,,
0.6588,1,8,0,1,40,1,1,6,3,8,4,5,75,6,14,6,20,19,10,28,3,2,,,
0.6814,0,0,1,0,10,1,7,6,0,12,2,8,51,3,5,8,8,7,8,25,0,9,,,
0.6839,1,0,0,1,8,5,5,5,6,8,4,5,112,4,10,9,11,7,7,19,0,9,,,
0.6876,1,9,1,1,35,1,3,5,5,13,5,0,28,2,6,9,20,15,9,33,3,3,,,
0.6902,0,6,1,1,10,2,7,5,5,13,1,13,31,3,0,4,7,4,13,21,3,7,,,
0.6927,1,4,0,1,21,2,1,7,5,6,0,3,139,3,11,5,15,7,6,15,4,3,,,
0.6952,1,6,1,1,37,0,6,5,0,11,5,7,56,5,9,8,19,10,14,27,3,3,,,
0.6979,1,8,0,1,36,3,6,6,2,10,5,8,81,2,5,4,26,5,7,29,3,8,,,
0.7005,1,7,1,1,35,3,4,6,4,7,6,8,120,6,14,7,12,11,8,7,3,0,,,
0.7029,1,8,0,1,50,1,3,3,2,7,7,6,61,1,13,7,22,11,8,27,0,4,,,
0.7054,1,5,1,1,41,1,5,6,5,14,6,11,63,2,9,7,23,7,7,23,3,5,,,
0.7078,0,5,1,0,39,3,6,8,3,11,0,13,142,3,14,5,15,8,7,8,2,4,,,
0.7103,1,8,1,1,51,2,6,7,1,13,5,12,33,3,11,6,18,13,5,15,3,1,,,
0.7129,1,6,0,1,50,1,5,4,4,12,5,10,59,5,8,6,17,7,13,32,0,7,,,
0.7154,1,2,1,1,11,3,4,6,3,12,6,12,113,4,13,7,22,15,8,0,5,0,,,
0.7182,1,9,0,1,37,2,0,4,9,8,9,7,74,1,12,4,23,9,14,24,3,7,,,
0.7208,2,5,1,1,43,1,7,6,7,14,4,11,83,4,7,8,19,2,18,24,3,9,,,
0.7233,1,4,0,1,35,2,1,3,3,12,6,9,124,9,15,4,13,11,9,13,4,6,,,
0.7258,0,9,1,0,29,4,5,6,2,11,7,11,65,4,12,8,19,6,14,12,1,9,,,
0.7287,2,4,0,1,44,1,6,6,5,12,8,4,8,7,3,3,15,12,16,27,4,8,,,
0.7313,1,4,1,1,35,1,4,10,1,13,5,13,131,7,4,9,13,6,11,11,3,10,,,
0.7338,1,6,1,1,24,1,2,6,2,11,8,6,86,3,17,6,18,13,5,10,4,6,,,
0.7365,0,7,1,1,47,2,5,6,6,15,5,8,102,3,7,9,11,12,17,31,0,12,,,
0.739,1,4,1,1,27,3,0,6,1,10,6,9,95,6,16,6,20,8,7,12,4,8,,,
0.7416,0,9,1,0,18,2,9,4,2,11,7,9,94,7,12,7,19,12,9,25,3,8,,,
0.7441,1,4,1,1,38,1,8,6,4,14,5,3,71,3,9,6,18,15,8,39,3,9,,,
0.7469,0,4,1,0,1,1,10,4,4,10,3,13,83,6,4,4,14,5,19,7,0,12,,,
0.7495,1,5,1,1,18,3,10,6,6,14,6,0,82,4,10,7,20,11,8,12,3,6,,,
0.7521,0,8,1,0,45,1,11,4,3,13,6,4,62,5,6,4,18,15,15,23,3,10,,,
0.7546,1,5,1,1,31,3,7,6,0,13,6,13,90,1,12,6,15,10,13,7,3,6,,,
0.7574,0,5,1,0,24,3,10,3,0,11,6,12,132,4,14,4,18,8,13,16,3,8,,,
0.7601,1,7,1,0,46,0,10,7,0,16,8,7,55,3,4,8,19,13,13,32,4,8,,,
0.7626,1,3,0,1,20,2,9,4,4,10,6,12,57,0,6,5,25,10,16,30,3,10,,,
0.7653,2,8,1,0,15,0,12,6,1,11,7,10,109,7,12,8,14,7,18,15,1,8,,,
0.7678,1,7,1,1,33,1,7,8,1,12,7,8,22,0,12,4,22,15,10,20,3,7,,,
0.7708,4,0,1,1,54,0,12,6,4,14,5,12,0,11,7,7,19,8,7,26,0,10,,,
0.7733,1,5,0,1,44,8,6,5,8,10,5,11,138,6,15,0,5,8,7,20,4,7,,,
0.7763,0,9,1,0,37,3,13,5,3,8,3,9,107,8,7,5,16,10,12,18,0,9,,,
0.779,1,5,1,1,44,3,9,6,0,15,6,4,66,0,13,7,18,13,9,29,3,12,,,
0.7814,0,8,1,0,24,1,9,4,4,7,4,15,89,8,11,6,17,9,5,6,5,5,,,
0.7841,1,8,1,1,28,4,10,5,6,11,5,10,85,2,15,6,19,15,14,25,3,5,,,
0.787,0,4,1,1,52,1,11,4,8,14,3,8,32,9,12,8,11,9,10,27,0,12,,,
0.7894,1,7,1,1,5,3,7,7,3,13,6,10,116,8,8,5,13,11,8,4,2,5,,,
0.792,0,10,1,0,22,2,8,7,4,9,3,0,23,5,12,8,17,13,13,15,3,3,,,
0.7944,1,3,0,1,38,1,12,4,2,9,6,5,12,8,4,5,16,12,13,31,3,8,,,
0.7969,1,3,1,1,26,3,3,5,4,12,6,7,132,8,8,10,18,12,6,12,5,7,,,
0.7996,1,7,1,1,38,3,11,5,5,10,6,11,78,3,13,6,20,12,8,4,1,9,,,
0.802,1,4,1,1,45,1,9,6,4,14,5,1,80,4,5,6,17,14,14,25,3,5,,,
0.8045,1,9,1,1,27,3,10,6,2,9,6,8,130,9,6,2,13,9,9,18,4,11,,,
0.8073,1,8,1,1,9,2,9,7,0,12,9,8,63,8,13,8,19,12,8,14,3,6,,,
0.8102,0,6,1,1,48,2,12,4,4,14,4,5,16,10,12,7,12,12,8,36,0,12,,,
0.8127,2,5,1,1,0,4,7,5,0,13,6,11,124,10,6,4,20,10,6,13,4,6,,,
0.8152,0,8,0,1,48,3,11,3,7,12,4,9,80,5,11,6,20,12,8,20,2,7,,,
0.8181,1,8,1,1,37,5,10,6,7,11,7,8,67,8,8,7,17,12,10,27,3,8,,,
0.8208,2,7,0,1,35,3,10,4,4,11,6,10,127,3,11,2,13,6,16,0,0,11,,,
0.8233,0,8,1,1,29,2,9,12,1,7,6,14,117,10,13,6,19,4,6,23,0,9,,,
0.8258,1,9,1,1,41,2,9,6,5,10,8,3,67,4,12,8,19,15,6,39,3,5,,,
0.8283,0,8,1,0,24,2,12,6,1,12,4,12,90,8,0,5,13,1,4,20,0,10,,,
0.8308,1,7,0,1,25,4,7,6,8,10,7,6,122,7,17,3,13,15,21,15,5,3,,,
0.8333,0,10,1,0,43,1,8,5,4,12,3,7,30,5,11,7,21,14,19,36,3,5,,,
0.8356,1,6,1,1,41,1,9,6,6,13,6,11,37,5,3,1,8,9,14,32,3,8,,,
0.8385,0,6,1,0,39,3,8,5,3,12,5,10,152,10,15,7,11,5,16,24,4,7,,,
0.8411,1,9,1,1,48,3,7,6,4,11,6,4,84,7,13,5,23,14,11,29,3,4,,,
0.8436,2,8,0,1,33,1,12,4,5,12,6,9,65,4,8,5,13,14,8,34,0,9,,,
